82,4,2210
38,5,502966
39,6,479926
9,7,10976564
37,8,562177
45,9,235079
21,10,1374062
1,12,283285179
4,14,79767549
14,19,2243177
24,24,1328619
31,27,974583
28,30,1043649
71,31,19963
2,37,268244166
3,38,223260982
64,45,26631
62,46,33300
5,49,32564426
42,64,365624
52,69,144675
46,75,219251
81,82,2314
36,88,628549
41,102,386629
11,116,3984147
40,124,405014
19,128,1806874
63,129,32175
55,130,70302
60,137,55103
69,141,22360
27,148,1244841
34,154,755404
13,158,2616656
33,177,776550
17,178,2062736
78,187,5037
70,201,21952
44,205,249418
66,210,25711
76,213,7331
43,226,321216
18,235,1975168
25,237,1297018
47,249,209371
22,254,1363000
77,256,5866
12,263,3360226
65,264,26474
68,268,22955
73,270,12869
26,273,1281262
87,275,53
94,276,2
58,278,66308
90,286,40
29,287,1025276
88,288,52
95,289,1
50,290,146671
89,291,52
91,292,26
84,295,435
96,296,1
67,301,23080
83,302,519
7,305,12483813
86,308,158
35,317,745132
54,319,86268
56,321,69610
6,326,13266887
49,327,174139
53,329,89417
80,332,2776
61,333,49930
48,334,178360
85,335,196
93,340,4
30,345,980139
59,346,66197
57,347,68801
72,350,13664
74,351,11350
20,354,1428601
8,359,11184497
16,361,2167218
92,364,26
15,366,2224478
51,368,145396
23,371,1344992
10,374,5601711
32,375,820455
79,377,3088
75,379,9011
