5533,danna,10,2,5680,456
5878,smart,0,3,6887,443
11624,gabesz10,12,181,1724972,13
14609,pirosgolf2,371,17,57041,271
14690,kanasz+mate,0,2,9274,421
17571,kimike,0,1,26,756
25846,dragon910713,0,1,189,662
38504,vigyori86,14,99,975005,45
47088,Ramoryan,0,2,1429,550
49534,J%C3%B3zsef+atya,38,56,553982,76
50012,6210,0,1,464,612
54352,kecskes66,371,28,150575,186
54409,bakati,270,3,6598,445
55903,horgyu,38,115,1052747,38
61173,Etike,361,47,400625,98
62207,Happy+Club,0,17,96440,221
62468,Lasley,237,3,11492,404
70257,bodirozalia,237,2,2972,499
70427,Joe123,371,32,112922,212
79866,csicsonka,333,3,19980,358
83368,Kuburbuki,0,1,3194,492
88668,kobiak,49,15,74894,251
88823,zoli0720,0,4,20089,357
91848,kati70,49,14,79182,241
97422,joconnor,0,1,1474,547
100599,Maala,38,13,85615,237
103579,kicsitalp,0,2,7616,433
110682,axel66,0,3,14284,381
116243,sx32,205,1,95,692
116336,monalizus,82,1,397,617
123451,som%40,0,1,7769,430
125069,zero+cool,210,1,1845,528
128768,yoniy,14,11,78269,245
135113,smiagor,0,3,5389,457
140736,mocsokmaci,270,1,1038,565
143891,ipasztor7,0,5,31320,318
143918,birtex,371,53,479431,86
146046,toyo,14,66,522137,81
147131,Leplesbitang,38,55,415910,96
148057,kfgdsi,49,13,59806,266
149441,mezoke,375,1,1986,524
155497,kissarga,0,0,0,864
158307,-Revolution-,0,1,26,757
163658,csaba36,0,1,622,593
166807,bpcsaba,0,1,673,591
171286,Cemi,361,18,122030,206
175574,Yendorian,263,22,71709,254
178714,Bili,158,4,8473,424
179880,Szellem+Gyilkos,0,1,3649,482
180009,burekera,0,1,596,596
180819,Red+Skull,0,1,26,758
183000,hajduk,237,0,0,865
184699,luigi075,0,1,26,759
192277,lordmark,254,1,348,623
192591,T+55,27,1,369,621
198131,Zitus22,0,5,6710,444
199554,Kozmosz555,0,4,15118,376
199818,53+41+59+48+49+20+3A+29,0,1,26,760
199895,csibesz,332,1,2876,500
206488,%3DUnstoppable%3D,129,1,99,691
211423,soma1108,10,1,4530,470
214005,myasthenia,326,1,3338,488
215193,Corleone23,0,0,0,866
215634,vihar+a+biliben,301,1,2465,513
217346,zsigmond35,0,1,5939,452
218340,picikurucz,12,10,97856,219
219338,Bankana,0,1,26,761
219890,crazy+froog,178,1,342,625
220609,titusz59,0,1,580,599
229388,ervin+the+king,0,4,2319,516
230202,elaci72,263,9,26716,339
237667,stefi007,326,3,11058,408
237843,KomiszKumisz,249,3,18561,363
241897,fegyenc,14,6,41798,293
242616,KMICIC,24,4,2405,515
244513,egondi,0,0,0,867
249769,zszil,0,3,13026,394
254377,doky76,177,4,9491,418
260768,Imperial4,359,5,31604,317
268482,Mz250,0,17,64929,263
270057,miklos52,371,30,232564,148
271538,lopo69,366,12,59217,268
273811,iragya,0,5,19683,360
276109,tigur,366,12,40114,297
277703,lacus6600,148,11,49288,281
285756,Csaba10000,371,99,865180,52
286896,-Ted,116,5,17464,368
292040,Radamesz,14,17,136786,192
293646,tomcsi110,0,1,217,644
299482,Sacca,0,1,1779,533
317924,Beeboy72,0,1,511,607
321793,csiki1953,375,1,844,577
330467,szekelyembor,88,5,22703,347
333468,nyulas69,49,9,37018,307
335644,Big+Joe,49,26,164497,176
338059,executoru1,38,69,449176,89
343369,khira,359,40,239800,145
347064,%2Aekibbit%2A,371,35,304726,126
355400,Don+Octavio,0,2,5983,451
358600,csaaby,0,1,26,762
370334,edneb,102,37,364744,113
371616,emikee,158,0,0,868
380822,kopika68,263,1,331,626
383466,josagos69,354,0,0,869
386711,manex,0,1,479,611
392904,sosi21,327,7,36625,308
397828,pg008,327,2,6942,442
398920,Eddy1975,371,36,225154,152
399235,Felix+Da+Rules,12,248,2259435,4
400737,%3DThe+Governor%3D,0,1,26,763
409047,Zeux,178,1,4219,473
410069,bazi86,254,1,4786,466
411462,Dewla,359,20,132030,196
412646,Moldik,4,1,1766,534
412947,BBalu95,263,10,32405,315
413873,Don.Condor,0,1,388,619
415150,levivagyok,10,0,0,870
415441,Nolty,0,2,5908,454
418041,nolan,14,39,259954,138
457061,atusguma,0,4,13189,390
460272,Pali+15,359,47,336552,119
461537,a+Vajda,12,191,1821297,11
843984,Cuberci,319,1,184,665
844643,css1996,0,1,113,687
846734,Tigris1974,38,51,312754,124
849613,-Deadpool-,14,43,370822,110
853058,botond34,0,1,651,592
857003,45legio,12,128,1177513,30
858233,Bailey.ca,14,19,179528,165
859935,Dencu,116,13,102362,216
865370,ferenc1966,0,7,25034,341
867006,sako1,158,1,699,588
874669,pamacs1,0,5,30421,322
876257,firekori,49,15,90163,230
878369,celaa,359,15,77010,247
879626,troja1986,374,26,242660,142
882779,alexandrosz+88,0,1,2447,514
888151,Feuerfluss,226,1,57,700
888702,sonicx,0,1,956,571
889787,zolax86,14,23,171210,169
890033,Jocccy,377,17,45503,288
905979,returner,12,25,228162,150
910466,lacko36,0,17,64441,264
913312,sunyisuhi,187,1,5750,455
913793,rmarika,14,51,347279,117
915376,Dani20000130,0,1,26,764
919884,lion2222,12,127,1290108,27
921366,maci001,375,1,1023,567
923504,tibi640,0,17,57288,270
929772,giorgio74,88,5,29695,326
929904,apoka23,49,16,123313,203
931502,gejzuka,10,1,446,615
934246,lovagfajzat1995,351,2,10072,412
941663,BENOVIRAG,326,14,87280,235
941692,pekkalusa,256,2,3606,483
942289,bahasa,371,76,401666,97
947151,kobra13,0,1,26,765
948378,dlaci81,148,0,0,871
948544,gobepista,0,8,14221,382
949447,joe78,88,1,806,582
963598,kaszparzoli,177,1,450,614
968188,atili1,12,85,506861,84
968543,pecku,0,2,9836,415
985197,szoszi1983,31,1,1681,540
986360,Enygma,158,1,835,578
991292,bandi777,49,22,79432,240
993461,%3DCHAMPION%3D,371,3,8872,422
997060,d+szabmen,0,3,3194,493
1000037,Bumblebee,12,62,619213,69
1000086,kovcsa,363,3,7175,439
1000315,Trisax,12,143,1453474,20
1003862,titan11,0,19,101246,217
1005059,Nightshadow,5,17,58198,269
1007177,prplus,38,50,330237,121
1008997,Erada,374,113,975475,44
1010145,SonGoku01,359,128,934401,47
1017355,antaltomi80,364,1,353,622
1025905,kimi0113,326,3,14392,380
1038691,rekus333,263,54,310173,125
1043288,havaria,361,93,681483,66
1043671,MMMEX,10,1,7537,436
1046117,ELITE0100,0,1,26,766
1058972,rstn,371,33,223927,153
1060445,furi310,38,163,1608013,16
1076234,basuka,75,1,7087,440
1076409,..Headshot..,0,1,38,750
1080969,whiskey1994,366,38,335800,120
1087605,zummke,0,6,51626,277
1089288,Lord1984,14,16,83660,238
1101780,dark+angel71,263,1,128,680
1105757,bewitching+witch,273,0,0,872
1111565,kgeri28,326,69,516265,83
1115883,taktak,354,3,15284,374
1118778,tothsunyi,0,1,47,701
1122528,handler,371,9,39770,299
1125874,ASD001,0,3,13235,389
1130600,bratyo73,0,1,6360,448
1131801,jonni-fiu,124,2,12369,397
1134421,lorghino,0,0,0,873
1136946,fakro,354,13,39273,302
1137046,P%C3%B3l+Ny%C3%BAmen,14,80,784674,59
1137727,stalo,38,23,223700,154
1142108,sharpsooter,0,0,0,874
1153702,m%C3%A1t%C3%A90415,326,14,62572,265
1154532,chippia,235,1,681,590
1162435,rozsdaboglya11,49,20,91606,228
1162575,ekosz,0,1,2179,519
1167897,plum,0,1,2765,502
1172527,Mdavid-15,375,1,3295,490
1175280,%3DSmoothiE%3D,0,1,26,767
1178923,Dozso,0,8,26832,337
1181503,szilike007,0,1,26,768
1181563,pimre,326,11,73355,252
1182731,Imre970718,375,1,2550,509
1184926,bayern12,0,1,10019,413
1185332,BABA78,263,13,67624,261
1189242,joci40,347,1,1105,560
1191848,Beavis,0,1,26,769
1192409,ej300,178,2,15262,375
1193509,zalan399,0,1,26,770
1196165,Paxtor,254,5,27348,335
1210500,3-CPO,0,0,0,875
1213343,Bodena,359,106,768655,62
1213951,Felfallak,0,21,123246,204
1216342,%3DGhost%3D,38,144,1368640,24
1219010,rapanzel,235,0,0,876
1224273,albundy65,263,8,39518,301
1229319,andras1966,201,6,19790,359
1231952,fare0505,0,1,3569,484
1233749,%2ABlack%2AStar%2A,12,329,2831608,3
1235300,temze51,0,13,43103,292
1238219,Vadles%C5%91,8,1,2754,503
1238542,huber+zsolt,263,12,45716,287
1242589,martin989,0,1,211,648
1247259,Galacano,371,29,227314,151
1248510,%2ABeerSeeWalk%2A,14,102,960451,46
1248772,hellmachine666,0,1,188,664
1252187,Skrillexer,12,73,677216,67
1255756,Pr%C3%B3p%C3%A1l%C3%B3,10,7,24081,344
1261313,darkserold,0,0,0,877
1261674,FMGY,116,6,29643,327
1262496,marcsika01,31,1,3162,495
1263711,II.Arsenal,38,82,776832,61
1264675,lancsi,0,1,560,604
1266062,lastminute72,14,48,393600,100
1266262,csabarinusz,49,21,181009,164
1268863,Tenkes+Kapit%C3%A1nya,326,20,150075,187
1269608,%3Dvisitors%3D,12,106,996541,42
1271739,JustTryIt,0,1,32,751
1274094,vajzerbacsi,0,4,11631,402
1274195,De%C3%A1k+D%C3%A1vid,0,6,37171,306
1277777,roland0098,0,4,9363,419
1279409,mapi187,0,1,26,771
1280764,milan12102,12,96,912245,49
1281787,Zoommolj,12,161,1619257,15
1283136,Gero+187,0,3,7308,438
1287639,-Living+Dead-,30,0,0,878
1288559,tattila,374,76,721608,65
1288854,szilimok,38,37,155071,181
1288935,szornyike,8,2,3541,486
1288987,erdesz013,0,7,11627,403
1289315,kissanyi70,0,3,18500,364
1289940,XXXXX,326,1,1329,553
1290712,19BoxeD95,0,1,26,772
1293205,muci,0,1,2001,523
1296437,GreenCatHun,0,1,26,773
1299153,papigeri,0,3,4119,474
1302688,bcii,14,36,321461,122
1305668,Grumpy+Cat,0,1,26,774
1306323,SINISTER,287,1,44,702
1306476,Drogo,12,133,1242578,28
1308954,karesz34,0,10,32290,316
1309783,lazsi6,254,7,13099,392
1312722,diRicheron,14,39,397316,99
1316592,B.JOZSEF,263,19,78796,244
1316773,Silent+Killer,0,7,29239,329
1318502,Whitechapel,375,1,2017,522
1318599,Jesus,38,45,351917,116
1318861,csaba33,0,1,1631,544
1319239,obajan,371,25,146505,190
1319831,pickup,14,35,264621,134
1320969,Meremin,0,1,26,775
1322632,Milannn12,0,7,30320,323
1322843,R.+Daneel+Olivaw,361,43,265488,133
1324201,slywer,178,0,0,879
1330632,magyul,178,1,6188,449
1332028,Perzi,14,17,133530,194
1334884,Nemyt,0,1,26,776
1335442,Bence385,354,2,13393,388
1335463,samsung1971,49,19,72684,253
1337816,nuewo,38,69,529782,80
1339289,vendel,0,11,28967,330
1341140,anitom,14,32,264239,135
1342185,muszajdzseki,359,100,932412,48
1343530,Freendy,0,1,26,777
1343637,Sir+Anto%C3%A1n+de+la+F%C5%91s%C3%A9fb%C3%A1,6,3,9595,417
1346838,Aedilis,0,1,127,681
1349208,Tankolo17,128,3,14577,379
1349668,pi-pe,263,1,1096,562
1349981,hackus,14,51,389992,102
1353001,fiskopapa,0,0,0,880
1353130,nemnem12,0,1,26,778
1353166,Depraved,12,11,98489,218
1354206,Kotnyeles,38,29,262254,137
1354679,Park+Su,0,2,2543,510
1355680,-mokusz-,12,97,855942,54
1356499,darius96,6,1,26,779
1362032,fenesdavid,0,1,1247,557
1363818,-Via-,0,9,30215,324
1363850,Ludas+Matyi,317,10,37731,304
1372183,%3DDiiegox%3D,0,1,26,780
1373791,kofic0740,0,1,5104,459
1379609,tistvan12,0,1,26,781
1383783,supernyuls,0,1,180,669
1384392,Hunter2024,0,1,729,584
1384962,dani+d,12,128,1143000,33
1385699,A..D,38,49,388627,104
1386201,laci7,116,3,4438,472
1397789,tepecske,14,2,11819,401
1399133,%3Dunderworld%3D,366,27,153478,183
1402322,1200kik,38,43,435181,93
1405141,Kritya15,14,41,389813,103
1406114,elessarkir,12,62,559456,75
1407257,DAAL,375,1,2649,506
1416017,Hexx,0,1,26,782
1417296,SzRicsi,14,122,1201923,29
1419762,ErwinRommel,0,1,26,783
1424998,flowerhorn,0,0,0,881
1427485,Nicholas+D.W.,38,110,1083576,36
1428310,I.Khiri,24,1,4818,465
1429793,Bl%C3%B6ff,12,203,1900626,9
1430036,lordd2113,6,1,1647,542
1431293,M%C3%A9ri,0,8,30431,320
1434341,Sanyi13,263,13,46669,284
1435367,amigo072,0,1,1818,529
1435843,kalandor999,0,1,498,608
1439865,Megingj%C3%B6rd,19,1,2475,512
1440632,-Freedom+Is+King,38,2,20269,356
1441146,micike,359,59,373168,108
1442605,-Szenth%C3%A1roms%C3%A1g-,12,172,1420883,21
1443757,%3DJoker%3D,0,2,4108,475
1449556,watta,326,10,39827,298
1450967,Robland6,19,0,0,882
1451299,Ricsi998,49,19,131723,197
1451685,ULTRON,0,141,1049270,39
1452912,szilviramone,263,8,46834,283
1453786,Jaky1,0,6,28788,332
1454054,kalman.andras,359,60,376833,106
1454136,neex,0,1,26,784
1456716,TheHagen,14,42,371476,109
1460056,killergabi,327,3,8331,425
1461547,meretek,0,1,26,785
1462506,Slade,49,11,76439,250
1462529,Nimr%C3%B3dvez%C3%A9r,326,4,11127,406
1462626,%3DIvar+the+Boneless%3D,12,210,1973661,6
1462718,piro92,14,57,539701,79
1462938,bohi7,0,1,995,569
1464942,aonen,12,142,1299660,26
1465139,Hunnyadi,0,1,26,786
1466642,sipos1987,371,359,3098020,2
1474069,T3N4C,38,27,220385,149
1476740,Pocok15,49,11,43918,290
1477395,KopaszKukac,12,199,1993669,5
1477568,HBarcaH,371,25,163154,178
1479154,Oman,0,1,105,689
1479381,%3DUnbeatable%3D,37,76,603610,70
1479399,Frenki89,371,17,125633,202
1482443,BellaSwan,10,1,403,616
1482522,fsociety,345,1,26,787
1482540,feca1979,263,5,29876,325
1483432,pionieer,38,59,446685,90
1483879,%3DNoName%3D,0,1,44,703
1485349,DaveP,0,1,26,788
1485635,csaron,12,81,780187,60
1487000,periklesz995,49,14,79045,242
1488389,kisnagy94,0,1,102,690
1488426,Devecser,0,1,611,595
1488750,Kir%C3%A1lydrasek,10,0,0,883
1489385,zylex,0,1,579,601
1492602,Gr%C3%BCnherz,0,1,2994,497
1493840,mxd0265,371,1,7553,435
1494095,%C3%81rmin.Roberta,12,120,1073815,37
1495294,Mani-Bogyesza18,14,6,47987,282
1495762,norbert1982,375,1,3340,487
1496661,Sokkol%C3%B3,369,1,1985,525
1496771,Korbi,14,1,3782,479
1498091,McFly1,0,1,305,629
1498170,LazsoR,177,0,0,884
1498279,Kazika96,14,70,583069,72
1499826,MilfHolgersson,14,65,521491,82
1500740,j%C3%B6v%C3%B6km%C3%A1rmegint,371,67,456540,88
1501748,A+Had-nagy,0,1,32,752
1501905,Arnold01,0,1,702,587
1502794,JSanyi66,0,2,4950,462
1502948,Phobos33,263,1,562,603
1503284,zsz.best,371,15,70981,255
1503875,vlad+burk,38,23,123101,205
1505539,kisb%C3%A9ka,0,24,151387,185
1505660,Tibu,0,1,1709,539
1506376,zsoltika1999,0,1,946,572
1508004,KALI,0,1,330,627
1509960,greyhunter,0,5,4531,469
1510818,nawaky,354,3,7577,434
1510872,szoda97,326,12,32554,314
1511923,Zsolt999,0,1,1304,555
1512875,Hunyadi-Corvin,12,107,894471,50
1513164,nemnem,14,30,280675,132
1517305,Richard+Sharpe,10,1,1155,558
1518249,Cayman,38,22,203417,156
1518410,%C3%96rd%C3%B6giKrisz94,49,17,86304,236
1519679,Petya01,12,202,1784266,12
1520309,Merox93,0,12,46268,285
1521230,Pontic+Geek,38,28,250683,139
1521895,Mori+seiki+tabornok,38,32,243272,141
1522004,papasuri1,12,123,880607,51
1522322,Creater,12,50,425519,95
1523375,Mecky99,38,32,286879,129
1523502,witcher24,0,1,1639,543
1524212,Smatte,38,109,860396,53
1524433,Hispan,371,35,156080,179
1524583,TaiKei999,0,1,77,694
1524585,Merlinianus,14,50,439363,92
1524788,wraddel,0,6,19625,361
1525611,%C3%81kos100,371,7,33117,313
1526245,Szomjas,0,1,26,789
1526850,tiborsebok72,0,0,0,885
1528106,Tomaj,235,1,4904,463
1528462,Whart,375,1,999,568
1529061,AK94,12,202,1927645,7
1529085,BlackeX,326,15,126950,199
1529145,TejeslaTornya,12,102,1027936,41
1529521,C.E.T.,366,10,28860,331
1530745,Farkas,263,8,43938,289
1531569,lordfarkas,366,11,67669,259
1532041,apacs,371,31,167628,175
1532528,masni,0,1,3753,481
1532552,Bajesz+001,0,1,26,790
1532752,MaciLaci,226,6,34174,311
1533129,matyi2019,0,1,2615,507
1533657,mRKNotorious,0,1,549,606
1534261,Lutz50,374,30,240204,144
1534418,tarpituzsi,326,27,96561,220
1534895,Belus1998,0,5,21333,353
1534919,Liza+Kir%C3%A1lyn%C5%91,0,1,199,655
1534951,Sparta95,0,1,5992,450
1534972,tomy76,263,35,201173,158
1535481,Kecskeharcos24,0,1,26,791
1536101,Natyka1985,0,1,550,605
1536666,predator1965,326,8,22352,350
1536802,Edem95,347,1,259,637
1537045,ThamuR,12,125,1160523,31
1537637,Kekbond99,49,26,188467,162
1537661,Lricsi88,326,5,13580,386
1538216,kanikazr02,49,10,93511,226
1538238,takar%C3%ADt%C3%B3n%C5%91,263,19,76829,249
1538456,Jezabel1,371,21,70441,256
1538625,Paly,49,18,172585,167
1538852,b4ndika,0,1,26,792
1539111,Genovese,0,16,95724,223
1539522,feki922222,0,1,1112,559
1539769,slovenske+nove+mesto,154,1,1290,556
1539836,wolfer,0,1,26,793
1539968,istv%C3%A1%C3%A1%C3%A1n,0,4,7626,431
1539993,Misungo,0,1,3758,480
1540090,hanko78,0,1,375,620
1540142,%C3%BCll%C5%91,0,1,124,684
1544865,kvirgiii,0,1,26,794
1545137,Razuro98,0,1,26,795
1545278,Magmate,10,1,886,574
1545279,magbiro,366,12,41714,294
1545281,Magroli,10,1,979,570
1545319,Nika45,366,6,20896,354
1545464,alyssa92,235,9,24937,342
1545508,Lady+Kankalin,326,1,614,594
1545525,jdhduhg95,38,18,168075,172
1545901,NOodley,38,95,849801,56
1546348,kudel,49,17,140595,191
1546516,lykorz,375,1,712,586
1546845,III+Ibrahim+pasa,354,1,2701,505
1546903,Estes,278,1,1610,545
1546926,Lakat,148,1,1739,537
1547008,LordArkan,38,92,795968,58
1547511,McFly,0,1,112,688
1547731,Csohika14,326,8,51419,279
1548449,Werzo,359,71,560809,74
1548476,parafa,128,5,8849,423
1548564,Davidoff,0,1,590,598
