496,5533,13397
355,5878,61818
22,11624,4003408
619,14609,1568
479,14690,16726
175,25846,309768
389,38504,40691
121,47088,539672
53,49534,1726647
282,50012,104122
607,54352,2124
461,54409,19650
268,55903,119656
350,61173,63685
524,62207,8763
504,62468,11397
574,70257,4293
440,70427,24066
372,79866,50455
678,83368,6
124,88668,504311
591,88823,3205
529,91848,7924
580,97422,3753
120,100599,544407
557,103579,5796
428,110682,26559
664,116243,228
630,116336,972
231,123451,160932
431,125069,26264
599,128768,2621
509,135113,11113
534,143891,7188
463,143918,19141
216,146046,198863
158,147131,368399
578,148057,3816
471,149441,17861
274,155497,114699
646,158307,503
532,163658,7789
507,166807,11187
321,171286,80880
320,175574,83012
419,178714,29039
330,179880,73059
453,180009,20690
276,183000,112144
115,192591,585480
125,198131,495252
623,199554,1486
143,199895,439186
516,206488,9904
368,215193,51419
444,215634,23444
247,217346,137248
8,218340,7479508
123,219338,513395
459,219890,19817
345,220609,66699
370,229388,51177
369,230202,51330
324,237667,78608
209,237843,209341
514,241897,10270
394,242616,39777
385,244513,43021
70,249769,1226961
605,254377,2360
614,260768,1835
375,268482,49616
531,270057,7808
508,271538,11119
292,273811,97795
643,276109,540
306,277703,88978
406,285756,34445
127,286896,477183
560,292040,5537
617,293646,1588
625,299482,1347
201,317924,227676
74,321793,1150851
374,330467,49807
539,333468,6994
302,335644,90292
112,338059,601163
414,343369,30551
505,347064,11310
466,355400,18709
176,358600,307340
349,370334,64526
285,371616,102976
164,380822,342342
286,383466,102785
583,386711,3601
326,392904,75703
470,397828,18080
547,398920,6547
128,399235,476986
672,409047,93
657,410069,305
183,411462,281370
675,412646,52
491,412947,14165
310,415150,87116
546,415441,6649
361,418041,58022
437,457061,24532
517,460272,9838
45,461537,2086009
269,843984,119603
21,846734,4256391
46,849613,2012384
206,857003,217008
161,858233,361510
36,859935,2486875
113,865370,593378
277,867006,111974
573,874669,4379
135,876257,452267
250,878369,134559
239,879626,144675
186,882779,277497
362,888151,57533
522,888702,9267
640,889787,672
97,890033,709964
133,905979,454883
267,910466,121281
628,913312,1190
538,913793,7025
122,915376,520615
12,919884,5424907
141,921366,444080
305,923504,89314
317,929772,84771
79,929904,1030266
582,934246,3649
181,941663,289636
528,941692,8117
5,942289,8911062
261,948378,127414
410,948544,33143
633,949447,803
107,963598,643389
59,968188,1562515
81,968543,993915
620,985197,1531
443,986360,23520
601,991292,2558
544,993461,6783
327,997060,75631
336,1000037,70291
41,1000315,2153650
622,1003862,1491
157,1005059,372804
288,1007177,100321
93,1008997,765103
159,1010145,364907
162,1038691,358480
242,1043288,141121
682,1043671,2
187,1058972,268876
13,1060445,5334218
208,1076234,215495
721,1076409,1
182,1080969,285599
25,1087605,3648092
577,1089288,3869
325,1101780,76182
63,1105757,1404940
418,1111565,29425
251,1115883,133325
608,1122528,2119
395,1125874,39764
243,1130600,139941
155,1131801,379980
142,1134421,441666
335,1136946,71371
137,1137046,447343
144,1137727,436404
495,1142108,13835
545,1153702,6665
64,1154532,1367367
554,1162435,5975
233,1162575,157472
332,1167897,72389
500,1172527,12747
631,1178923,906
413,1181563,30753
480,1182731,16601
549,1184926,6264
99,1185332,704624
337,1189242,69800
543,1191848,6828
462,1192409,19574
530,1196165,7919
284,1210500,103348
476,1213343,17552
210,1213951,204696
19,1216342,4719382
265,1219010,122732
593,1224273,3020
604,1229319,2425
245,1231952,138502
401,1233749,37025
367,1235300,53167
165,1238219,339398
571,1238542,4544
90,1247259,793007
199,1248510,232847
333,1252187,71551
563,1255756,5438
452,1261313,21004
379,1261674,47002
511,1262496,10918
26,1263711,3537856
651,1264675,391
377,1266062,48241
273,1266262,115854
266,1268863,122048
110,1269608,622145
390,1274094,40387
38,1277777,2400750
89,1280764,797235
40,1281787,2214957
562,1283136,5464
221,1287639,187889
138,1288559,447056
4,1288854,9601923
439,1288935,24101
225,1288987,175567
72,1289315,1179352
556,1293205,5803
393,1299153,40078
290,1302688,98913
200,1305668,229791
271,1306323,118537
173,1306476,315302
359,1308954,61172
629,1309783,985
235,1312722,154222
656,1316592,330
77,1316773,1046595
213,1318502,202306
49,1318599,1887204
474,1318861,17728
270,1319239,119589
166,1319831,337645
197,1320969,237759
229,1322632,165515
353,1322843,62316
212,1324201,202568
565,1330632,5313
301,1332028,90347
238,1335442,146203
149,1335463,413677
168,1337816,336090
169,1339289,324192
442,1341140,23660
101,1342185,688335
58,1343530,1599108
460,1343637,19679
108,1349208,631162
2,1349981,15401546
613,1353001,1881
215,1353166,199667
