160,1688292936,1479381,0
6209,1688311931,1550398,0
10422,1688319074,1502896,0
8301,1688387994,1556047,0
4516,1688395082,1570050,1553289
1133,1688401494,49534,0
2023,1688414861,1524212,0
11326,1688457359,1499010,0
11606,1688458240,1470083,0
4045,1688478023,1570050,0
777,1688480450,1018949,0
3443,1688487248,1495754,0
12271,1688489015,1569278,0
2996,1688493815,1483711,0
8288,1688504431,179101,0
5046,1688516242,1567810,0
8296,1688535342,1220600,0
3122,1688563424,1568738,0
8987,1688571300,179101,0
2354,1688588960,1459133,0
2407,1688591086,1567458,0
4263,1688592564,1568836,0
2520,1688592913,1461202,0
3739,1688623200,1550398,1495754
10584,1688639481,1006280,0
10786,1688649678,963076,0
5979,1688652518,238445,1570829
7601,1688659004,397828,0
5916,1688660390,1567856,1570810
5797,1688664771,128768,1570792
8756,1688675976,79866,0
5018,1688676119,168395,0
6602,1688683822,1296437,1566795
8078,1688693982,1192409,0
11593,1688697265,1470083,1538572
1903,1688703629,1566618,0
10800,1688706959,1499951,0
2017,1688709614,1277716,1459749
1996,1688709660,206488,1080969
3415,1688709888,1566425,0
11808,1688710375,1569199,0
10032,1688714283,1372183,368662
36,1688714362,1490303,1508254
1086,1688724901,1556334,1488573
3151,1688725199,1567398,1263297
9283,1688730964,1569095,1289315
9667,1688731632,1569095,0
7090,1688735028,1532528,0
7090,1688735028,1532528,1532528
10730,1688735879,1136946,0
8162,1688736385,1440873,0
9025,1688736929,1570927,0
328,1688742789,375949,0
4843,1688744510,206488,0
7624,1688744553,1524212,1558646
9024,1688761522,1547731,1043579
7694,1688766104,1556047,171354
3576,1688766308,1569801,0
5670,1688772771,268444,0
7169,1688785703,404902,1324201
994,1688787932,1490303,0
6147,1688793994,1569471,1570853
5566,1688796066,206488,1570614
5944,1688804862,1517305,1570815
1042,1688812873,1561422,0
12377,1688819848,1499010,1564844
3788,1688825620,1524212,0
7081,1688825880,1548361,0
4292,1688828465,1556334,1538852
4227,1688833002,1524212,0
6630,1688833630,49534,1363625
6630,1688833844,49534,49534
3541,1688840522,1566540,0
8002,1688842836,1556050,1570925
3333,1688844623,206488,1340557
1415,1688846547,1072551,1567885
8182,1688847817,1553673,0
4521,1688848243,217346,0
1191,1688848853,1570625,1402322
8142,1688851800,1520074,1568443
4325,1688871423,1550398,0
11871,1688871636,414843,0
3256,1688872715,1399469,1304474
2640,1688873880,409609,0
4187,1688882401,1018949,1532728
1345,1688883530,219208,1565276
7596,1688887801,1412870,1131801
9904,1688888615,1006280,0
11886,1688890816,1398162,0
2024,1688893435,1470083,1569496
5783,1688897647,993461,1570790
10172,1688904583,1372183,1487000
7134,1688906637,1570947,0
1548,1688907780,1181262,1155038
7575,1688908451,1520074,1569186
5636,1688908664,1570710,1570769
1079,1688912987,1556334,0
3547,1688914723,1483711,0
6853,1688916725,1569988,0
5697,1688917923,1498897,0
10877,1688918804,1531569,0
