67,4,83
30,5,98409
37,6,42769
11,7,1913573
40,8,30926
35,9,46671
19,10,347484
1,12,174400592
4,14,31969731
15,19,444848
25,24,139809
27,27,119929
21,30,275261
64,31,260
3,37,58679225
2,38,59477291
65,45,134
6,49,8877903
38,64,40693
43,69,19950
49,75,3756
66,82,117
36,88,44909
20,102,322103
33,116,65457
41,124,25030
29,128,109538
51,130,2751
57,137,1387
68,141,80
44,148,18751
28,154,116974
17,158,396818
53,177,2520
23,178,211041
58,187,1197
61,201,838
62,205,749
56,213,1687
55,226,1899
22,235,235667
18,237,388691
69,249,30
13,254,490609
73,256,5
14,263,445046
63,264,694
52,268,2741
70,270,22
48,273,5025
54,278,2500
72,287,12
42,290,21445
10,305,1957102
74,319,4
34,321,64346
7,326,8545651
47,327,7335
60,329,992
39,333,35009
24,334,175970
31,345,86531
45,346,16632
59,350,1144
46,351,7701
26,354,131664
5,359,9104969
12,361,688630
9,366,2157727
32,368,80463
16,371,435039
8,374,2882015
50,375,3552
71,377,18
