80,4,1973
37,5,392562
39,6,355073
7,7,7831291
36,8,500046
45,9,168094
24,10,1005936
3,12,68376900
4,14,35427806
16,19,1372406
22,24,1086959
28,27,805248
30,30,750971
68,31,19261
1,37,138137702
2,38,115781931
63,45,25365
60,46,30526
5,49,15699300
40,64,323877
47,69,124309
43,75,215495
81,82,1949
35,88,530011
53,102,64526
9,116,3341329
38,124,379980
15,128,1572633
59,129,32175
55,130,57279
56,137,53716
64,141,22164
20,148,1138291
34,154,537518
11,158,2110767
29,177,773823
14,178,1725130
82,187,761
65,201,21111
42,205,220955
62,210,25711
75,213,5261
41,226,279685
13,235,1735794
26,237,882455
44,249,209341
32,254,705911
73,256,5798
10,263,2833726
61,264,25780
67,268,20188
70,270,12847
19,273,1245889
90,275,1
54,278,63806
91,286,1
23,287,1025264
88,289,1
48,290,122951
84,295,434
89,296,1
66,301,20799
83,302,507
6,305,10316966
86,308,155
31,317,745132
50,319,81812
74,321,5264
8,326,3886617
46,327,166544
49,329,88425
78,332,2776
69,333,14919
79,334,2390
85,335,196
87,340,4
25,345,893595
57,346,49565
51,347,68801
71,350,12520
76,351,3649
18,354,1274943
21,359,1090794
17,361,1275088
52,366,65207
58,368,46197
33,371,618318
12,374,2065481
27,375,816903
77,377,3070
72,379,9011
